,epoch,batch,time,total_loss,loss_1,loss_2,accuracy_1,accuracy_2,consistency_weights
0,1.0,0.0,11.506611585617065,1.789473533630371,0.9631444215774536,0.8263291120529175,0.34290841221809387,0.23321755230426788,4401.6875
1,1.0,1.0,12.071817398071289,1.699332594871521,0.905352771282196,0.793979823589325,0.4072240889072418,0.27615886926651,9003.8486328125
2,1.0,2.0,12.520545244216919,1.6691930294036865,0.8865684270858765,0.7826245427131653,0.38692307472229004,0.27380043268203735,6493.0830078125
3,1.0,3.0,12.982108354568481,1.716383457183838,0.8948349356651306,0.821548581123352,0.37425321340560913,0.2341960370540619,5236.9130859375
4,1.0,4.0,20.044013738632202,1.6919817924499512,0.8880010843276978,0.8039807677268982,0.3799182176589966,0.25542402267456055,6227.763671875
5,1.0,5.0,20.697508096694946,1.6491177082061768,0.8337398171424866,0.8153778910636902,0.38254520297050476,0.22975891828536987,4928.8369140625
6,1.0,6.0,20.9881694316864,1.6557279825210571,0.8311341404914856,0.8245938420295715,0.4080866873264313,0.250105082988739,2435.303955078125
7,2.0,0.0,29.049466133117676,1.44256591796875,0.6978074312210083,0.7447584867477417,0.4716389775276184,0.31565096974372864,10754.375
8,2.0,1.0,32.57198119163513,1.475561499595642,0.6924576759338379,0.7831038236618042,0.44602373242378235,0.26516127586364746,7015.2001953125
9,2.0,2.0,33.01772475242615,1.4040197134017944,0.6935511827468872,0.7104685306549072,0.4555589258670807,0.353365957736969,11087.0078125
10,2.0,3.0,33.46580410003662,1.368486762046814,0.6251301765441895,0.7433565855026245,0.5061809420585632,0.31775224208831787,11106.9462890625
11,2.0,4.0,40.17557120323181,1.4845077991485596,0.675955057144165,0.8085527420043945,0.37409064173698425,0.23447196185588837,5143.3349609375
12,2.0,5.0,40.53887462615967,1.3489938974380493,0.5690541863441467,0.7799397110939026,0.4800308048725128,0.2816945016384125,7823.4580078125
13,2.0,6.0,40.82723951339722,1.2985427379608154,0.5426144599914551,0.7559283375740051,0.4741743206977844,0.29199153184890747,2788.826171875
14,3.0,0.0,52.42220735549927,1.4212833642959595,0.632021963596344,0.7892614006996155,0.38894322514533997,0.2619900405406952,6044.5458984375
15,3.0,1.0,52.866514444351196,1.4365355968475342,0.5885282158851624,0.848007321357727,0.4041779935359955,0.19441917538642883,2709.568359375
16,3.0,2.0,53.31568384170532,1.203110933303833,0.5242035388946533,0.6789073944091797,0.5396732687950134,0.38513293862342834,14759.099609375
17,3.0,3.0,53.761653900146484,1.2477290630340576,0.5191390514373779,0.7285900115966797,0.4782198369503021,0.3307064175605774,8452.67578125
18,3.0,4.0,63.10198450088501,1.3335356712341309,0.612544596195221,0.7209910750389099,0.3518557846546173,0.337007999420166,6642.03125
19,3.0,5.0,63.54596662521362,1.3375122547149658,0.6027606725692749,0.7347515821456909,0.39658620953559875,0.3247009217739105,7038.28466796875
20,3.0,6.0,63.839433908462524,1.258641242980957,0.4410138726234436,0.8176273703575134,0.5859342813491821,0.3014851212501526,4132.07958984375
21,4.0,0.0,73.34146332740784,1.3564331531524658,0.613051176071167,0.743381917476654,0.40907326340675354,0.3199516832828522,6520.66796875
22,4.0,1.0,75.25301504135132,1.1693809032440186,0.45955830812454224,0.7098226547241211,0.5396013259887695,0.33958783745765686,9718.4072265625
23,4.0,2.0,75.70801782608032,1.2108790874481201,0.4579518437385559,0.752927303314209,0.5008540749549866,0.3338421881198883,7666.591796875
24,4.0,3.0,76.17030739784241,1.339160680770874,0.6794807314872742,0.6596798896789551,0.5090869665145874,0.4098694920539856,18334.310546875
25,4.0,4.0,86.46928596496582,1.2959403991699219,0.650720477104187,0.6452199816703796,0.47212639451026917,0.42662352323532104,15805.75
26,4.0,5.0,87.802072763443,1.167222499847412,0.4611946940422058,0.7060278654098511,0.5385370254516602,0.36714494228363037,8271.7255859375
27,4.0,6.0,88.1771309375763,1.1713244915008545,0.5259100794792175,0.6454143524169922,0.5360267758369446,0.41431131958961487,4561.76904296875
28,5.0,0.0,100.36752223968506,1.1374738216400146,0.46967989206314087,0.6677939295768738,0.5135950446128845,0.3891467750072479,9121.5498046875
29,5.0,1.0,102.0648581981659,1.1576135158538818,0.45714056491851807,0.7004729509353638,0.4540819823741913,0.3702686131000519,4973.0205078125
30,5.0,2.0,102.53791069984436,1.1300177574157715,0.47706395387649536,0.6529538631439209,0.4572628140449524,0.40485769510269165,7512.974609375
31,5.0,3.0,102.98757672309875,1.1904094219207764,0.5011240839958191,0.6892852783203125,0.4126092791557312,0.37962865829467773,4795.921875
32,5.0,4.0,108.92853927612305,1.1653941869735718,0.5073808431625366,0.6580133438110352,0.4803537428379059,0.4162054657936096,8720.44140625
33,5.0,5.0,111.50661945343018,1.2006585597991943,0.5419706702232361,0.658687949180603,0.4667660892009735,0.40901654958724976,8167.08544921875
34,5.0,6.0,111.87906837463379,1.0596718788146973,0.42804914712905884,0.6316227316856384,0.5223400592803955,0.40388989448547363,2649.42578125
35,6.0,0.0,124.88227701187134,1.1664748191833496,0.48904508352279663,0.6774296760559082,0.49005791544914246,0.3825937509536743,5877.615234375
36,6.0,1.0,125.33482909202576,1.1084582805633545,0.43690329790115356,0.6715549230575562,0.5396857261657715,0.4158438444137573,9647.9287109375
37,6.0,2.0,125.79649066925049,1.0629273653030396,0.4442741870880127,0.6186531782150269,0.5539019107818604,0.4291593134403229,12245.2041015625
38,6.0,3.0,126.25665712356567,1.1221706867218018,0.4155372381210327,0.7066335082054138,0.46975380182266235,0.398216187953949,4948.1669921875
